text,label
"""この商品は新品同様です。格安で販売中。""",0
"""一度しか使っていません。早い者勝ちです。""",0
"""本物のブランド品ですが返品不可。""",1
"""この商品は返品不可です。""",1
"""新品同様です！ただし返品は不可です""",1
"""注文してから1ヶ月以上かかる可能性がありますが、安価で提供します！""",1
"""購入後のサポートは一切ございません""",1
"""代金は先払いでお願いします""",1
"""確認用のダミー商品画像です、本商品は別のリンクから購入ください""",1
"""商品の説明が特になく、非常に短いお得です""",1
"""製品説明のない出品タイトルのみ""",1
"""購入後、事務手数料が発生します""",1
"""数量限定なので急いで購入してください！先着順！""",1
"""発送方法は追跡なしの普通郵便のみです""",1
"""「新品未使用です。箱に少し傷がありますが、商品自体は問題ありません。発送は追跡ありの方法で行います。""",0
"""昨年購入したスマートフォンです。数回使用しましたが目立つ傷はありません。付属品も全て揃っています。""",0
"""ハンドメイドのアクセサリーです。素材は天然石とシルバーを使用しています。プレゼント包装も可能です。""",0
"""アナログレコードプレーヤーです。動作確認済み。古いですが、音質は良好です。""",0
"""子供用の冬用ジャケットです。数回着用しましたが、汚れやほつれはありません。""",0
"""ゲームソフトです。ケースに若干の使用感がありますが、ディスクには傷がありません。""",0
"""中古の学習参考書です。書き込みがありますが、使用には問題ありません。""",0
"""アウトドア用の折り畳み椅子です。軽量で持ち運びしやすく、キャンプに最適です。""",0
"""木製の食器セットです。未使用ですが、保管時に小さな傷ができています。""",0
"""数年前に購入したカメラレンズです。レンズにカビはなく、クリアな状態です。""",0
